13.0621 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
13.3039 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
13.5458 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
13.7877 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
14.0296 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
14.2715 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
14.5134 1.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
14.7553 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
14.9972 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
15.2391 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
15.4810 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
15.7228 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
15.9647 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
16.2066 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
16.4485 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
16.6904 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
16.9323 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
17.1742 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
17.4161 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
17.6580 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
17.8999 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
18.1417 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
18.3836 1.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
18.6255 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
18.8674 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
19.1093 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
19.3512 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
19.5931 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
19.8350 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
20.0769 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
20.3188 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
20.5606 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
20.8025 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
21.0444 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
21.2863 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
21.5282 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
21.7701 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
22.0120 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
22.2539 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
22.4958 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
22.7377 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
22.9795 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
23.2214 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
23.4633 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
23.7052 1.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
23.9471 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
24.1890 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
24.4309 1.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
24.6728 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
24.9147 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
25.1566 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
25.3984 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
